FechaDeEjecucion;Id;Nombre;CodigoEstado;DescripcionStatus;BusesActivos;ContadorBusesActivos;ServiciosActivos;ServiciosInactivos;ContadorServiciosActivos;ContadorServiciosInactivos;ServiciosTotales
26/06/2024 19:41:22;PI148;Parada 3 / (M) Plaza de Maipú;0;Itinerario obtenido satisfactoriamente;FLXK-93, FLXG-58, FLXL-52, FLXL-46, RWRP-73, RWRP-66, PGPT-54, PFYS-52, PFTW-79, PGPT-33, FLXY-61, FLXL-19, FLXW-88, FLXX-99, FLXW-21, CJRZ-80, BJFB-68, LZPH-37, PFVD-57, PGPT-39;20;I03, I10, I11, 423, 481, I24, I12, 109, 118, 108;I10N, 109N, 599, F90;10;4;14
26/06/2024 19:41:29;PI419;Parada 10 / (M) Plaza de Maipú;0;Itinerario obtenido satisfactoriamente;PDZT-12, PFVK-94, PFVL-16, PDYH-96, PFVJ-11, PFVJ-20, PFYS-52, PFVC-55, PGPT-25, PFTW-79, PFYR-61, PFTW-66, PFVC-57, PGPT-42;14;401, 405, 413C, 423, 481, 431C, 106;599;7;1;8
26/06/2024 19:41:36;PI230;Parada 2 / (M) Plaza de Maipú;0;Itinerario obtenido satisfactoriamente;SHXG-68, SHXB-12, TBFT-96, PFXB-32, FLXV-88, TBFT-79, FLXW-42;7;I35, 506, 506E, 506V;546E;4;1;5
26/06/2024 19:41:42;PA95;Parada 9 / (M) Matta;0;Itinerario obtenido satisfactoriamente;TBZB-20, FLXF-79, FLXF-84, SDGY-15, LZPS-13;5;206, 385, 203;203N, 203E;3;2;5
26/06/2024 19:41:49;PJ1731;Parada 7 / (M) Gruta de Lourdes;0;Itinerario obtenido satisfactoriamente;CJRZ-66, CJRW-73, BJFY-47, GCBF-18;4;J16, 407;;2;0;2
26/06/2024 19:41:56;PF101;Parada / (M) Protectora de la Infancia;0;Itinerario obtenido satisfactoriamente;SPVV-26, SPVV-63, SRPK-28, SRRZ-26, LZPG-17, LZPG-14, LZRB-96, SXKV-98, LCPG-37, LBTT-18, SRVL-15, SRVF-79;12;F01, F13, 205, 205C, 210, F15, 213E;F30N;7;1;8
26/06/2024 19:42:03;PB1921;Parada 1 / (M) Plaza Quilicura;0;Itinerario obtenido satisfactoriamente;SGPW-47, SHCY-20, SLPB-94, SHXD-59, SLGT-31, SLGS-98, SLPC-36, SLPC-14, SLLZ-51, SLLZ-40, SPCG-35, SKDH-59, SKDF-98, SKDJ-86;14;425, 429, 429C, 430, 435, B06, B21;;7;0;7
26/06/2024 19:42:10;PJ108;Av. Américo Vespucio / esq. Papa San Pío;0;Itinerario obtenido satisfactoriamente;SLLZ-46, SLLY-91, SKPL-36, SKPK-37;4;428, 444;J08, 424;2;2;4
26/06/2024 19:42:17;PA279;San Alfonso / esq. Lincoln;0;Itinerario obtenido satisfactoriamente;BJFZ-65, CJRW-84, TBFW-17, TBFR-51;4;119, 511;I18;2;1;3
26/06/2024 19:42:24;PD10;Parada 5 / (M) Est.Nacional;0;Itinerario obtenido satisfactoriamente;LDSV-89, PGLD-66, PGRZ-78;3;114, 117;1090, 103, 1290;2;3;5
26/06/2024 21:37:34;PI148;Parada 3 / (M) Plaza de Maipú;0;Itinerario obtenido satisfactoriamente;FLXF-42, FLXL-38, RWRP-39, FLXZ-44, FLXW-67, GCBC-49, PFXB-24, BJFJ-29, BJFH-62, PGPT-37, PGPS-92, PFYR-77, PFVG-42, FLXY-12, FLXZ-80, PGPT-52, PFYS-21, FLXF-99, FLXR-33;19;I10, I11, I12, 109, 118, 423, 481, I24, 108, I03;I10N, 109N, 599, F90;10;4;14
26/06/2024 21:37:41;PI419;Parada 10 / (M) Plaza de Maipú;0;Itinerario obtenido satisfactoriamente;PFYS-39, PGPT-38, PFVK-90, PFYG-88, PFBG-12, PFVK-81, PGPT-37, PGPS-92, PFYR-77, PFVG-42;10;106, 401, 405, 423, 481;599, 413C, 431C;5;3;8
26/06/2024 21:37:48;PI230;Parada 2 / (M) Plaza de Maipú;0;Itinerario obtenido satisfactoriamente;SFGY-21, SDSW-94, TBFX-28, TBFS-50, GCBC-76, GCBC-36;6;I35, 506, 506V;506E, 546E;3;2;5
26/06/2024 21:37:54;PA95;Parada 9 / (M) Matta;0;Itinerario obtenido satisfactoriamente;LZPS-14, RYJG-94, LZPW-15, FLXK-68, FLXK-73;5;203, 206, 385;203N, 203E;3;2;5
26/06/2024 21:38:01;PJ1731;Parada 7 / (M) Gruta de Lourdes;0;Itinerario obtenido satisfactoriamente;CJRZ-66, CJRW-73, TBFV-23, TBFT-19;4;J16, 407;;2;0;2
26/06/2024 21:38:08;PF101;Parada / (M) Protectora de la Infancia;0;Itinerario obtenido satisfactoriamente;SRRW-69, SRRW-61, LZRB-89, LZPT-40, SRVL-72, SRVL-21, SPVV-63, SRPJ-78;8;F13, 205, 210, F15, F01;205C, F30N, 213E;5;3;8
26/06/2024 21:38:15;PB1921;Parada 1 / (M) Plaza Quilicura;0;Itinerario obtenido satisfactoriamente;SJPD-77, SHXG-41, SLLY-52, SLGS-99, SKDF-92, SKDJ-25, SPCG-32, SKDH-73, SHXG-98, SHXG-83, SLPC-22, SHXD-68;12;430, 435, B06, B21, 425, 429;429C;6;1;7
26/06/2024 21:38:22;PJ108;Av. Américo Vespucio / esq. Papa San Pío;0;Itinerario obtenido satisfactoriamente;SHXD-73, SJPF-96, SKPK-42, SKPL-33;4;428, 444;J08, 424;2;2;4
26/06/2024 21:38:29;PA279;San Alfonso / esq. Lincoln;0;Itinerario obtenido satisfactoriamente;BJFX-20, GCBC-61, TBFW-71;3;119, 511;I18;2;1;3
26/06/2024 21:38:36;PD10;Parada 5 / (M) Est.Nacional;0;Itinerario obtenido satisfactoriamente;SKWD-75, PGBY-89, PGRZ-64;3;114, 117;1090, 103, 1290;2;3;5
